Index,GO,Genes,Gene_Count,Truth Label
1743,GO:0043543,GATA2 CDYL SUPT7L FOXO1 SF3B3 BMAL1 CPA4 BRCA2 ESCO2 MSL3 KANSL2 MUC1 NAA30 SNCA CRTC2 ZDHHC22 DDX3X SGF29 MBD3 BRPF1 MYOCD FAM161A KAT14 APBB1 NAA11 WBP2 TADA1 PYGO2 VPS72 DLST KAT5 TAF2 TAF5L TAF6L MORF4L2 ZDHHC11 MBOAT4 CLIP3 MSL2 DIP2A NAA25 TRIM16 ZDHHC18 IRF4 TAF5 ZDHHC5 KAT2A TERF2IP RAPGEF3 SPI1 KAT7 SOX4 ATXN7L3 HAT1 ATXN7 SMO TAF6 LDB1 PRKAA2 DMAP1 MAP3K7 MCRS1 ISL1 PWWP2B PBXIP1 MSL1 SET NAA35 LIF ZDHHC3 SPHK1 PARK7 NAA10 ZDHHC12 GTF2B MAPT ESCO1 BRD8 WDR5 EPC2 MBIP FOXP3 NAT8 GSK3B DSCC1 PER1 NAT8B ZDHHC2 PHF20 SIRT1 ACTL6B KAT6B KMT2E KAT2B PORCN CREBBP BRCA1 NAA15 KMT2A NAA50 TRRAP CHEK1 ZDHHC20 MORF4L1 CTBP1 EOMES ZDHHC7 ZDHHC23 ZDHHC17 NFYB MLLT1 HDAC2 NAA38 HDAC5 RUVBL1 PWWP2A HINT2 NFYC AUTS2 SPHK2 ZZZ3 GOLGA7B ZDHHC14 NAA80 BRPF3 ZMPSTE24 ARRB1 CAMK1 SNAI2 EP300 PRKAA1 CHD5 NUPR1 TADA2B ENY2 NMT2 USP22 TAOK1 CLOCK OGDH KAT6A ING4 POR ZDHHC19 ACTB EPC1 BRD1 TAF10 NOC2L NAT9 ING3 POLE3 ZDHHC4 SMC5 ARID5A PML TADA3 COMMD3-BMI1 ATAT1 TAF4 JADE2 ZDHHC21 BEND3 BAZ1B NAA20 ZDHHC9 GOLGA7 PAX6 TWIST1 PPM1A FLCN ATF2 THAP7 SELENOK SUPT20H SMAD4 GATA3 TAF12 MAGEA2B ZDHHC15 YEATS4 MECP2 PPM1B PCGF2 CEP295 NAP1L2 NMT1 PIWIL2 JADE1 ING5 ATG5 RUVBL2 GLYR1 BLOC1S1 SDR16C5 ZDHHC16 SUPT3H MEAF6 OGT TAF7 LACRT KAT8 SHH MAP6D1 AANAT PHF20L1 SMARCB1 ZDHHC13 TADA2A MBTD1 NAA16 SMARCA5 PPARGC1A IWS1 ZDHHC6 YEATS2 SETD5 BAG6 NFYA KANSL1 HHATL BRD7 KANSL3 ZDHHC8 MYBBP1A ZDHHC24 NOS1 DR1 NAT10 GLUL BMI1 ACTL6A DEK JADE3 DIP2B EID1 SF3B5 HDAC6 MRGBP NAA60 LEF1 PIH1D1 SIN3A KLF15 NAA40 HCFC1 ERCC6 MLLT3 ZDHHC1 SF3B1 MAGEA2 EP400 HHAT DLD TAF9 DDX21,256,protein acylation
1744,GO:1905049,TIMP2 LRP1 PICALM TIMP3 SORL1 RECK TIMP1,7,negative regulation of metallopeptidase activity
1745,GO:0042398,NFE2L2 PLSCR1 PARK7 MTHFD1L GGT1 GAMT GART SLC7A11 CKM FPGS CHDH ALDH7A1 MTHFD1 GGT6 ATIC CHAC1 ACADM GGT7 DHFR GCH1 PTDSS1 CKMT1A CKMT1B GSS ALDH9A1 CKB GATM PLOD2 MGST2 MTHFS BBOX1 CHAC2 TMLHE DHFR2 CKMT2 SLC27A1 SLC1A2 GGT5 HAGH SLC1A1 GCLM PLOD3 PTDSS2 GCLC,44,cellular modified amino acid biosynthetic process
1746,GO:0032069,TMBIM6 PCNA HMGB1 SIRT1 NPM1 OAS3 TERF1 TERF2 OAS2 HMGB2 ABCE1 AKT1 OASL GZMA DFFA PRKCD NEIL1 RPS3 DDX11 PDE3A OAS1,21,regulation of nuclease activity
1747,GO:0042361,CYP4F3 CYP4F12 CYP4F11 CYP4F2,4,menaquinone catabolic process
1748,GO:0099542,F2R PLCB1 FABP5 CNR1 GRM5 DAGLA ABHD6,7,trans-synaptic signaling by endocannabinoid
1749,GO:0032071,NPM1 SIRT1 PRKCD RPS3 DDX11 HMGB1 AKT1 GZMA,8,regulation of endodeoxyribonuclease activity
1750,GO:0009083,ECHS1 MCCC2 HIBCH SLC25A44 ACADSB HMGCL BCKDHA DBT HSD17B10 ACAD8 HMGCLL1 ALDH6A1 AUH BCKDK HIBADH MCCC1 BCKDHB BCAT2 ACAT1 DLD IVD,21,branched-chain amino acid catabolic process
1751,GO:0014732,IL15 TRIM63 CFLAR ACTN3 RPS6KB1 MSTN,6,skeletal muscle atrophy
1752,GO:0048239,TERF2 TERF2IP,2,negative regulation of DNA recombination at telomere
1753,GO:1904059,OPRL1 ZFHX3 MTOR,3,regulation of locomotor rhythm
1754,GO:0060545,RIPK1 ZBP1 CASP6 AIFM1 RIPK3 PARP1,6,positive regulation of necroptotic process
1755,GO:0051974,ERCC4 PIF1 PINX1 POT1 CERS1 TEN1 TP53 TERF1 MEN1 SRC PARP3,11,negative regulation of telomerase activity
1756,GO:1901985,LIF TAOK1 SMARCB1 TADA2A BMAL1 FOXP3 SMARCA5 PPARGC1A MUC1 ARID5A BRD7 DDX3X PML MYBBP1A FAM161A NOS1 WBP2 BRCA1 BAZ1B DEK KAT5 DIP2B DIP2A SMAD4 GATA3 PIH1D1 TERF2IP KAT2A RAPGEF3 ERCC6 CEP295 SOX4 SPHK2 AUTS2 NAP1L2 PIWIL2 PRKAA2 SF3B1 GLYR1 RUVBL2 ARRB1 CAMK1 SNAI2 ISL1 PRKAA1 TADA2B DDX21,47,positive regulation of protein acetylation
1757,GO:0034694,AKR1C3 OXT GNG2 AANAT YY1 P2RY6 ADCY6 TGFBR3 AKAP8 EDN1 A2M AKR1C2 P2RY4 PRKCE APOB GNB1 PTGFR HMGCS2 AKT1 CCL19 PTGDR CCL21 PRKAA2 PTGER2 SCN11A PTGER4 PRKAA1 PPP1R9B CCR7 TNFSF4 SFRP1 ACACA,32,response to prostaglandin
1758,GO:0006177,PFAS HPRT1 ADK GMPS IMPDH1 ADA ADSL APRT AMPD1 ATIC PPAT GART PAICS IMPDH2,14,GMP biosynthetic process
1759,GO:0040014,STAT5B NPPC GHSR TNKS2 PRLH SLC6A3 GAMT ATP8A2 ATRN MKKS IGF1 ADRB1 NPY1R GPAT4 GHRHR FXN LGMN ADRB3 CDK4 MBD5 DIO3 PLAC8 SOCS2 SPTBN4 PLS1 AFG3L2 SGPL1 GHRL PTCH1 NIPBL BCL2 SOD1 BBS4 DRD2 CHD7 STAT5A ADRB2 HTRA2 GDF5 VIL1 STAT3 HDAC3 IGF2 EZR PPIB APP SMO BBS2 GH1 CSF1 PIK3CA GDF15 ZMPSTE24 STC2 FOXS1 MFSD2A CREB1 GPAM POU3F2 PRL RAI1 GHRH GPR21 PEX5 FTO GHR,66,regulation of multicellular organism growth
1760,GO:2000643,MSN DAB2 PTPN23 MTMR2 RDX VPS11 RAB21 EZR,8,positive regulation of early endosome to late endosome transport
1761,GO:0019062,LRRC15 CLEC4M NECTIN1 CD81 NECTIN2 ICAM1 GAS6 HSP90AB1 DPP4 ACE2 CD209,11,virion attachment to host cell
1762,GO:0010498,DCAF12 ASCC3 CDK2 RNF144A WDR26 DDI2 CUL1 ECRG4 UGGT2 PSMD8 GPX1 PSMD7 GIPC1 USP25 UBXN4 ZNF598 FZR1 HM13 ZFAND2A PSMB1 TMF1 RCN3 UBE2C IL33 RNF103 CUL5 UBR2 UBXN2A KCTD13 RAD23B UBQLN1 CALR GID4 PSMB7 GABARAPL2 MTA1 RNF34 SMAD7 GBA1 ERLEC1 SPOP FBXO44 PPP2CB PSME1 SMURF1 F8A3 IFI27 NEMF SEL1L2 HERPUD1 CCNF VCP PSMA3 APOE FBXW7 PLK3 TLK2 NR1D1 PSMD3 PJA2 CBFA2T3 PITHD1 CALR3 BFAR AGAP3 RNF122 SIRT2 WWP2 BIRC2 KCTD5 TMEM129 AXIN1 APC2 PSMD1 TTC36 UBE2H KLHL40 PSMB10 PSMA8 APC PRICKLE1 PML UFD1 CDC20B ARRB2 PINK1 CEBPA PLAA PRKACA OPHN1 MAP1A MAN1B1 PSMD6 UBE2B ITCH UBE2A PSEN1 FEM1A YOD1 NEDD4 CD2AP RNF185 RHBDD1 SH3RF2 PCBP2 DDIT3 FBXO4 SKP1 SOCS6 RHBDD2 ANKRD9 PKD1 UBXN6 PSMC2 UCHL5 FBXL20 CSNK1E FBXO39 DDB1 FBXO31 N4BP1 PSMA5 CSNK1A1 TOPORS SDCBP SPSB2 FBXO2 NKD2 ARAF RNF14 AKIRIN2 USP7 ZSWIM8 NUDT15 AURKA DERL2 BCAP31 DAB2IP HSPA1A EDEM1 APPBP2 UBQLN3 DAB2 RNF19B BTRC CLGN ANAPC1 DVL1 RNF217 DERL3 FBXL4 COMMD1 PSMC4 RNF139 PSMA7 TMEM67 MAEA FBXL2 HFE DESI1 ERLIN1 SOCS5 RYBP GID8 WAC FBXL12 ZER1 DDRGK1 CAV1 GCLC COP1 SVIP NFE2L2 ANAPC5 PSMD2 PSME4 PARK7 GSK3A OS9 UBQLN2 FBXL6 FMR1 FBXO27 OSBPL7 GSK3B UGGT1 DDI1 PSMC5 UBE4B RNF187 RNF121 STT3B UFL1 CANX UBR3 DNAJB12 FHIT NCCRP1 UBAC2 TRIM13 UMOD AQP11 USP13 F8A2 XPO1 PSMD13 HUWE1 PRKN PRAMEF6 FBXL5 NUB1 RNF4 ARMC8 RACK1 BAG5 PANO1 LTN1 TRIM39 HERC2 HECTD1 ANKIB1 HSP90AB1 UBE2G2 PSMB8 ANAPC16 ERLIN2 ZFAND2B WFS1 CDC20 UBXN8 SHH DNAJC10 EDEM3 FAF1 PSMB4 ANAPC15 PRKCG RNF40 TRPC4AP UBE2G1 ENC1 CDC34 USP19 FEM1C PSME3 UBE2J1 TAF1 EIF3H TMTC3 SH3BGRL SUMO1 MARCHF7 FBXL8 FBXO33 RPL11 RNF175 UBE2J2 TREM2 FOXRED2 GLMN UBQLN4 FBXL7 PRAMEF15 CCDC47 PSME3IP1 PSMD14 PCNP SDF2L1 UBXN7 PSMB5 BMAL1 NGLY1 FBXL15 SH3RF1 KBTBD6 FBXL17 TRIM25 DNAAF4 KLHDC3 KAT5 GABARAP DCAF11 RNF5 USP5 CDC26 UBE4A TRIM71 FBXL13 FAF2 MAPK9 HSP90B1 ZNRF1 PSMB3 KLHL22 UBXN2B TMUB2 UBXN10 SEC61B DTL PSMA6 SYVN1 SIRT1 AXIN2 CDC16 SH3RF3 SEL1L UBE2K PSMB6 MAN1A1 ZYG11B RHBDF1 TBX21 PMAIP1 PSMD10 ARIH2 CSNK1D EDEM2 HSPBP1 USP9X RNF216 CLU RCHY1 FBXO48 SPSB4 ARRB1 ERCC8 UBE3D FBXO38 CUL4A CLOCK FBXW5 FBXL19 LAMP3 CTNNB1 FBXO9 TRIP12 FBXO45 DNAJC18 NHLRC1 SKP2 KLHDC1 FBXL3 PBK UBB PSMA1 TRIM9 CAMLG TPTEP2-CSNK1E PPP2R5C DNAJB14 TRIM3 SGTA MARCHF6 RNFT1 RMND5A SUMO2 RNF144B RNF126 ATF6 TBL1X CUL2 SPSB1 FBXW11 OGT TRAF4 DERL1 SHARPIN UBXN11 AMN1 RBCK1 CCAR2 PSMC1 NPLOC4 FBXL22 UBR1 TRIP4 ALAD RNF41 SOCS4 PSMA4 CHFR UBE2S PELI1 KCTD2 RNF19A MKRN2 HSPA1B RBX1 TRIB1 PSMF1 KBTBD7 FAM8A1 PSMD11 SIAH3 DET1 KCNE2 JKAMP TMUB1 PSMB9 UBE2U FBXW8 DNAJB2 PSMA2 ECPAS STUB1 TRIM2 PSMB2 HECW2 WWTR1 PSMC3 TRIM38 SIRT6 ANAPC4 AKT1 HSPA5 BAG2 NEDD4L PLK1 TBL1XR1 WWP1 PABIR1 FBXO17 PSMD12 RFFL UBXN1 TOR1A FOXF2 PRPF19 SMURF2 RMND5B TRIM72 STYX HACE1 HECTD3 PSMC6 RNF180 DDA1 AUP1 PRAME PIAS1 RNFT2 KLHL42 ASB2 F8A1 ANAPC10 USP14 FBXW4 FEM1B SELENOS UBE2W LRRK2 ASCC2 NUPR1 KLHDC10 SPOPL UCHL1 GNA12 UBE2D3 ADRM1 RAD23A GET4 SPSB3 RNF186 PSME2 ANAPC7 KCTD10 TMEM259 CDC27 KLHDC2 TRIB2 KCTD17 KIF14 SIAH2 SIAH1 ZNRF2 CUL4B BRSK2 PSMD4 MDM2 BBS7 NOP53 DNAJB9 MTM1 ATE1 FBXO6 FBXL16 KLHL20 CDC23 PSMB11 FBXL14 HECW1 DMAC2 ANKZF1 NSFL1C KLHL15 RFPL1 WNT10B TNFAIP1 BAG6 ARIH1 ATXN3 TRIB3 AMFR ELOB SMARCC1 USP44 AREL1 FBXO22 CRBN ECSCR XBP1 ANAPC11 CUL3 KEAP1 NHLRC3 TAF9 ANAPC2 ANAPC13,518,proteasomal protein catabolic process
1763,GO:0002580,HLA-DOA PYCARD THBS1 TREM2 HLA-DOB,5,regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
1764,GO:2000319,MALT1 NFKBID RC3H2 FOXP3 IL12B RC3H1 LOXL3 JUNB IL4 NFKBIZ ZC3H12A IL23A BATF TBX21 IL2 TNFSF18 IL12RB1 ZBTB7B SMAD7 IL23R,20,regulation of T-helper 17 cell differentiation
1765,GO:0090504,TMEFF2 HBEGF ACVRL1 CEACAM1 LCP1 MTOR FLNA AJUBA PHLDB2 CD44 PTEN WNT7A MEGF8 CLASP1 PDPN PLET1 PDCD10 CLASP2 FERMT1 RHOC RHOA ITGB1 COL5A1 CCN1 MSX2 MMP12 MRTFA FERMT2 ITGA5 ARHGAP35 ARHGAP24 LRG1 CARMIL2 CD151 DDR1 RREB1 ADAM17 TOR1A,38,epiboly
1766,GO:0016267,C1GALT1 C1GALT1C1 C1GALT1C1L,3,"O-glycan processing, core 1"
1767,GO:0042594,ADSL ULK2 CBL ALB FOXO1 GAS6 PIK3C3 RALB KPTN MAP1LC3B2 GPT SH3GLB1 RRAGC NUAK2 SEH1L GNPAT PAGE4 BMPR2 EIF2AK1 ULK1 SREBF1 PDK4 TP53 KAT5 GABARAP ELAPOR1 USP33 RNF152 BCL2 KLF10 LARS1 HFE STK24 MYOD1 HSPA5 GABARAPL2 ZFP36 WDR45 PRKAA2 ACAT1 EIF2A MFSD2A SIK2 GBA1 WRN SESN3 SSTR3 NFE2L2 AKR1C3 UPP1 VPS41 WDR24 RRAGB SLC34A1 WNT4 RRAGA CTSK PRKD1 PRKAG3 SIRT1 GIP SLC38A3 PRKAG2 TBL2 RPTOR SIK1 MTMR3 SLC39A4 SSTR2 EIF2AK4 WNT9B IGF1R PMAIP1 WIPI1 SREBF2 ITFG2 KICS2 CDKN1A CPEB4 ZFYVE1 UCP2 BGLAP WNT2B WDR45B HMGCS2 JMY RNF167 PCSK9 EIF2S1 MAPK3 INHBB PPARA UCN3 LRRK2 SZT2 ADM LARP1 MAPK1 PRKAA1 UGT1A1 MAP1LC3A TNFRSF11A LRP11 SLC7A5 CARTPT MAP1LC3C RIPOR1 BECN1 GABARAPL1 BECN2 PPM1D STK26 BCAS3 OXCT1 FOXK1 SRD5A1 SP1 ATG14 DNAJC15 DEPDC5 EIF2AK2 MAP3K5 SESN1 MAPK8 ZC3H12A PCK1 FOXK2 FOS ACADM SESN2 PEX2 BHLHA15 MYH13 BRSK2 FAS PICK1 HAMP GCGR GAS2L1 MAP1LC3B BMT2 FLCN HNRNPA1 NIM1K ATF2 PLIN2 TNRC6A TFEB FNIP1 GALP NUAK1 ATG7 DAPL1 ATG5 NPRL3 SSTR1 ATF4 CLEC16A NUPR2 BRSK1 DSC2 PRKAG1 LAMP2 DAP GCN1 KRT20 IFI16 ASNS MTOR CPS1 PPARGC1A COMT PCK2 PIK3R4 RRAGD DDIT3 WDR59 FADS1 LOC102724428 MYBBP1A SUV39H1 PIK3C2B FOXO3 GLUL EIF2AK3 MIOS ATF3 HSPA8 EHMT2 SP7 SLC38A2 PFKFB1 RRP8 IMPACT FOXA3 FBXO22 TTC5 SLC39A5 HNRNPL NPRL2 PLIN3 XBP1 XPR1 AOC1 AMBRA1 TBC1D5 MAX WIPI2 SLC2A1 SFRP1 HCRT,211,response to starvation
1768,GO:2000983,PLEC PHPT1,2,regulation of ATP citrate synthase activity
1769,GO:2000338,IL17F TRPV4 IL17A TIRAP MYD88 IL17RA,6,regulation of chemokine (C-X-C motif) ligand 1 production
1770,GO:0001879,CLEC6A CLEC7A,2,detection of yeast
1771,GO:0071918,AQP10 AQP7 AQP9 SLC14A2 UMOD POU3F3 AQP3 SLC14A1,8,urea transmembrane transport
1772,GO:0061051,HAMP PARP2 AKAP6 EDN1 IGF1,5,positive regulation of cell growth involved in cardiac muscle cell development
1773,GO:0042713,OXT TACR1 OXTR AVPR1A SLC6A4 ACVR2A,6,sperm ejaculation
1774,GO:0007015,MYO5A ROCK2 BRAF WDR1 TMSB15A SPTBN2 PHLDB2 ARPC2 MYO19 ALDOA CASS4 PIK3R2 GPR65 CDC42EP1 ARPC4 NCKAP1L FHDC1 PACSIN1 CCL24 MICALL2 KCTD13 ARF1 S1PR1 MICAL2 RAPGEF3 DIAPH1 TMOD1 MARCKSL1 SLC9A1 GAS7 SPATC1L PFN1 HMCN1 COTL1 DIAPH2 WASHC1 BIN1 ARHGAP25 MARCKS PLEKHH2 ARHGAP6 GMFB ASAP3 SLIT2 DIAPH3 PRKCI ARHGEF10L FERMT2 JMY SPTAN1 SYNPO2L SCIN NAA80 CTTN SYNPO GSN GRB2 ABI1 BIN3 RGS4 ARFIP2 WASF3 KBTBD13 TMSB4Y WHAMM CLASP1 CDC42EP4 ARPC5L CX3CL1 SHROOM1 LATS1 PDCD10 ACTN1 PICK1 RHOH ARPIN BAIAP2L2 NF2 RHOB DMTN LIMA1 CDC42EP2 RHOF MYO5C CCL26 PTGER4 VASP PFN4 TJP1 CDC42 CD2AP PYCARD MTOR ADD3 AIF1 CCN2 GBA2 DPYSL3 NCKAP1 NEDD9 ACTA1 CCDC88A BAG4 LMOD3 KANK4 TMOD4 PFN3 GDPD2 SSH3 MICAL1 SMAD3 MTPN SHROOM3 FSCN2 PPM1E CTNNA1 SPTBN1 BAIAP2L1 TGFB3 ARHGEF15 PAK3 RAC1 FLII TPM2 ARPC5 ESAM PLA2G1B RGCC ARHGAP12 TTC17 DBN1 CAPZA1 RHOC BCL2 MYO6 ERMN STMN1 ARHGAP17 RFLNB ABITRAM NCK1 NRP1 TESK1 MICAL3 PDLIM1 ADD1 FCHSD2 SPTA1 RUFY3 CGNL1 ALMS1 SPTB FLNA PSTPIP2 TENM1 PLS1 CLASP2 TRIOBP PPP1R9A BBS4 MYO1B TPM3 RHPN2 CFL2 CCL21 MYO1F XIRP2 BCAR1 AP1AR ARHGAP18 DBNL PHACTR1 LPAR1 TPM1 WASHC2A PRKN ABI2 ADD2 SSH2 WASF2 CSF3 ID1 RHOA ARFGEF1 EFS PPARGC1B EMP2 MET MYO1C ABL1 NEBL WASF1 SHROOM2 EZR RAC3 CTNNA3 PIK3CA WASHC5 OOEP TMSB10 CORO1A CCR7 TPM4 GAS2 CARMIL1 CALD1 WAS SPTBN4 SAMD14 SRF MYOC RND3 MYO1A GAS2L2 ARF6 DLC1 CAV3 ARHGAP35 WASHC3 RICTOR ARPC1B SFRP1 NCK2 TMEFF2 TMOD3 TRIM27 ALOX15 KPTN ACTG1 CCL11 ELMO1 LMOD2 IQGAP2 ARPC3 SVIL MSRB1 TTN RHPN1 ENAH MCU KANK3 FER CYFIP2 SRC PROX1 NPHS1 PIK3R1 FMN2 LIMCH1 TLE6 CAPZA2 HSP90B1 SH3D21 DNAI3 MYO5B C9orf72 AVIL TF RHOBTB3 CIT ZYX MYO1D CFL1 FMN1 KASH5 ARPC1A ITGB1BP1 SWAP70 TCAP PAK1 EPHA1 FHOD1 ARRB1 SORBS2 ZBED3 ARHGEF5 EPS8 MYADM GHSR CRACD LCP1 TGFBR1 TTC8 TACSTD2 ACTR3 CYRIB USH1C SH3KBP1 SPIRE1 NRAP CDC42EP3 CATIP PFN2 GAS2L1 MLST8 FRMD7 TMOD2 C15orf62 DAAM2 MAGEL2 NLRP5 BAIAP2 ARHGEF18 MYO1G SPIRE2 ACTR2 RHOBTB1 DLG1 INPPL1 CTNNA2 ROCK1 PXN PAWR MKKS WASHC4 SORBS3 SSH1 CAPZA3 PLEC F11R SERPINF2 XIRP1 HAX1 SHANK1 CARMIL3 RHOG RND2 TWF2 SNX9 FAM171A1 ZNF664-RFLNA BRK1 TMSB15B PRKCD PLS3 ESPNL SHROOM4 MSRB2 CYRIA PTK2B RASA1 HCK ACTN2 TNNT2 PLEKHG2 MAD2L2 SPTBN5 CORO1B KIRREL1 NEB CORO2B WASHC2C CXCL12 VILL ITGB1 INPP5K PRKCE RHOD MTSS1 PPM1F ARAP1 JAK2 SORBS1 LMOD1 ARFIP1 SEMA5A WNT4 ANG WASL RAC2 WIPF1 PSTPIP1 KANK1 CAPZB MYO1E MYO7B CD47 FSCN1 TSC1 RFLNA CARMIL2 ITGB5 PDXP AIF1L FHOD3 PPFIA1 PAK2 PPP1R9B MYO15A SDC4 CLRN1 S100A10 TRPV4 LIMK1 EVL CYFIP1 RDX SH3BP1 ELMO3 PREX1 TMSB4X HIP1R POF1B ELMO2 GAS2L3 CORO6 GHRL COBL FAM107A CDC42EP5 VIL1 FSCN3 PLEK SHTN1 FAT1 CORO1C F2RL1 CAPG FCHSD1 DSTN GMFG SYNPO2 TNFAIP1 HIP1 WNT11 RHOBTB2 CORO7 ARHGEF2 TWF1 APOA1 MYO7A ARHGEF10 HCLS1 ELN KHDC3L CUL3 TACR1 RND1 ESPN ACTC1,440,actin filament organization
1775,GO:0031268,SRGAP2C CDC42 CCL21 APC SRGAP2 CDC42EP2 CDC42EP5 KLHL41 CDC42EP4 C15orf62 F2RL1 WASHC1 CDC42EP1 RAB25 CCR7 KIT CDC42EP3,17,pseudopodium organization
1776,GO:0046041,ITPA AK3,2,ITP metabolic process
1777,GO:1905684,ANXA2 S100A10 RAB3A AHNAK CASP7 SYTL4 MYH9,7,regulation of plasma membrane repair
1778,GO:1903726,SLC27A1 LPIN1 PDGFA APOC1 PDGFB ABCA2 LPCAT1,7,negative regulation of phospholipid metabolic process
1779,GO:0061180,RTN4 WNT2 AR STAT6 AKT2 ESR1 WNT7B ORAI1 TBX3 WNT4 SCRIB BTRC PHB2 BRCA2 AREG CEBPB TNFSF11 HIF1A CCL11 GPX1 MGMT PRLR LRP5L PML LBH IRF6 BAX FOXB1 LATS1 ATP2C2 FGF10 PYGO2 CCND1 NTN1 FGF2 ROBO1 ID2 CSMD1 MED1 PTCH1 PGR DEAF1 HOXA5 MSX2 FOXF1 GATA3 SOSTDC1 CSF1R AKT1 CAV3 SRC ZNF703 NR3C1 LRP5 MSX1 SMO ERBB4 CSF1 JAK2 KDM5B DDR1 WNT3 MAPK1 WNT5A RREB1 VDR EPHA2 IQGAP3 FGFR2,69,mammary gland epithelium development
1780,GO:0010988,HNRNPK ANXA2 FGF21 LDLR MYLIP CNPY2 APOC3 CSK TREM2 LDLRAP1 KHSRP IL19 ABCC8 NR1H4 PCSK9,15,regulation of low-density lipoprotein particle clearance
1781,GO:0036145,GPR183 F2R,2,dendritic cell homeostasis
1782,GO:2000640,SPRING1 ZBTB7B,2,positive regulation of SREBP signaling pathway
1783,GO:0140353,ABCC4 POMC NKX3-1 OXT NOS2 INHBA CYP19A1 DAB2 SPP1 CRY2 PLA2G3 FZD4 WNK4 GAL TNFSF11 GDF9 REN SELENOM EDN1 MIF P2RX7 GALR1 TMF1 P2RX4 PTGES GHRL PTPN11 KCNQ1 BMP6 RETN PLA2G4A TSPO AGT AGTR1 CRH PTGS2 IL1A PLA2G10 NMB IL1B KDM5B CRHR1 MAP2K6 LEP C1QTNF1 CRY1 LINC02210-CRHR1 TNFRSF11A,48,lipid export from cell
1784,GO:1901255,ERCC4 XPA,2,nucleotide-excision repair involved in interstrand cross-link repair
1785,GO:0019391,GUSB ABHD10,2,glucuronoside catabolic process
1786,GO:0061101,NOTCH1 HES1 GATA2 BMP2 INSM1 JAG1 ASCL1 FGF8 WNT4 WNT11 POU3F2 FGF2 BCCIP NKX2-2 OTP LHX3,16,neuroendocrine cell differentiation
1787,GO:0003358,INSM1 ASCL1 PHOX2B ZC4H2 RNF220,5,noradrenergic neuron development
1788,GO:0038189,CDC42 VEGFA NRP1 ABL1,4,neuropilin signaling pathway
1789,GO:0046637,IL4R TGFBR2 ZNF683 PRDM1 NLRP3 SHH MALT1 HMGB1 NFKBID IHH IL2RG RC3H2 FOXP3 CD83 SH3RF1 IL12B HLA-DRA RC3H1 HLX MYB LOXL3 NFKBIZ JUNB SHB IL4 ZC3H12A JAK3 IL23A BATF ZBTB16 BCL6 IL18 RUNX3 TBX21 RHOA IL2 ZAP70 NCKAP1L TNFSF18 KLHL25 SOCS1 RARA RUNX1 IFNG ITPKB NKAP SYK HLA-DRB1 LILRB4 IRF4 GATA3 LGALS9 CCL19 GLI3 IL12RB1 AP3B1 SOCS5 PRKCZ RIPK2 ADA SASH3 ZBTB7B CD86 AP3D1 PNP SMAD7 IL23R ANXA1 CBFB IL27 TNFSF4 CD80,72,regulation of alpha-beta T cell differentiation
1790,GO:1903793,OXT TRH GABBR1 AVP CYP4F2 AVPR1A CYP4A11 SLC6A1 SLC34A1 ARL6IP1 PLA2G3 SSTR4 SLC12A2 ABCB1 CEBPB CFTR TNFSF11 SLC38A3 PTAFR RAB3GAP1 ABAT EDN1 CLTRN TCAF1 PLA2G6 NTSR1 AVPR1B SLC17A8 MIF SYT4 P2RX7 P2RX4 PTGES ITGB1 SLC38A1 ADORA2A DTNBP1 KMO ABCB11 PLA2G4A AGT TNFRSF11A PLA2G10 IL1B MAP2K6 ATF4 PSEN1 STXBP1 IL1A PLA2R1 ACE2,51,positive regulation of anion transport
1791,GO:0061343,TGFBR2 GATA5 TGFB2 ACVR1 FLRT2 CPLANE2,6,cell adhesion involved in heart morphogenesis
1792,GO:0001805,FCGR1A BTK,2,positive regulation of type III hypersensitivity
1793,GO:0002733,MAVS CAMK4 TICAM1 DDX1 RIGI DHX36 DDX21,7,regulation of myeloid dendritic cell cytokine production
